12.8405 	EXP 	Photodiode_2: autoDraw = False
12.8405 	EXP 	PLUS_FP: autoDraw = True
12.8405 	EXP 	Photodiode_plus: autoDraw = True
13.0407 	EXP 	Photodiode_plus: autoDraw = False
14.8238 	EXP 	PLUS_FP: autoDraw = False
14.8238 	EXP 	polygon: autoDraw = True
14.8238 	EXP 	Photodiode_polygon: autoDraw = True
14.8403 	EXP 	Photodiode_polygon: autoDraw = False
15.2745 	DATA 	Mouse: Left button down, pos=(803,475)
15.2906 	EXP 	PLUS_FP: autoDraw = False
15.2906 	EXP 	polygon: autoDraw = False
15.2906 	EXP 	Photodiode_polygon: autoDraw = False
15.2906 	EXP 	Photodiode_plus: autoDraw = False
15.2906 	EXP 	Photodiode_2: autoDraw = True
15.3400 	DATA 	Mouse:  Left button up, pos=(803,475)
15.5904 	EXP 	Photodiode_2: autoDraw = False
16.6081 	EXP 	New trial (rep=4, index=0): <Trial 4 (0 in rep 4) data={'thisN': 4, 'thisTrialN': 0, 'thisRepN': 4}>
16.6238 	EXP 	text: autoDraw = False
16.6238 	EXP 	Photodiode_2: autoDraw = False
16.6238 	EXP 	PLUS_FP: autoDraw = True
16.6238 	EXP 	Photodiode_plus: autoDraw = True
16.8238 	EXP 	Photodiode_plus: autoDraw = False
18.6073 	EXP 	PLUS_FP: autoDraw = False
18.6073 	EXP 	polygon: autoDraw = True
18.6073 	EXP 	Photodiode_polygon: autoDraw = True
18.6242 	EXP 	Photodiode_polygon: autoDraw = False
18.9577 	DATA 	Mouse: Left button down, pos=(804,493)
18.9742 	EXP 	PLUS_FP: autoDraw = False
18.9742 	EXP 	polygon: autoDraw = False
18.9742 	EXP 	Photodiode_polygon: autoDraw = False
18.9742 	EXP 	Photodiode_plus: autoDraw = False
18.9742 	EXP 	Photodiode_2: autoDraw = True
19.0737 	DATA 	Mouse:  Left button up, pos=(804,493)
19.2738 	EXP 	Photodiode_2: autoDraw = False
20.5581 	EXP 	New trial (rep=5, index=0): <Trial 5 (0 in rep 5) data={'thisN': 5, 'thisTrialN': 0, 'thisRepN': 5}>
20.5738 	EXP 	text: autoDraw = False
20.5738 	EXP 	Photodiode_2: autoDraw = False
20.5738 	EXP 	PLUS_FP: autoDraw = True
20.5738 	EXP 	Photodiode_plus: autoDraw = True
20.7738 	EXP 	Photodiode_plus: autoDraw = False
22.5572 	EXP 	PLUS_FP: autoDraw = False
22.5572 	EXP 	polygon: autoDraw = True
22.5572 	EXP 	Photodiode_polygon: autoDraw = True
22.5738 	EXP 	Photodiode_polygon: autoDraw = False
22.8414 	DATA 	Mouse: Left button down, pos=(799,492)
22.8571 	EXP 	PLUS_FP: autoDraw = False
22.8571 	EXP 	polygon: autoDraw = False
22.8571 	EXP 	Photodiode_polygon: autoDraw = False
22.8571 	EXP 	Photodiode_plus: autoDraw = False
22.8571 	EXP 	Photodiode_2: autoDraw = True
22.9405 	DATA 	Mouse:  Left button up, pos=(792,488)
23.1574 	EXP 	Photodiode_2: autoDraw = False
24.2416 	EXP 	New trial (rep=6, index=0): <Trial 6 (0 in rep 6) data={'thisN': 6, 'thisTrialN': 0, 'thisRepN': 6}>
24.2572 	EXP 	text: autoDraw = False
24.2572 	EXP 	Photodiode_2: autoDraw = False
24.2572 	EXP 	PLUS_FP: autoDraw = True
24.2572 	EXP 	Photodiode_plus: autoDraw = True
24.4570 	EXP 	Photodiode_plus: autoDraw = False
26.2569 	EXP 	PLUS_FP: autoDraw = False
26.2569 	EXP 	polygon: autoDraw = True
26.2569 	EXP 	Photodiode_polygon: autoDraw = True
26.2736 	EXP 	Photodiode_polygon: autoDraw = False
26.6741 	DATA 	Mouse: Left button down, pos=(791,496)
26.6903 	EXP 	PLUS_FP: autoDraw = False
26.6903 	EXP 	polygon: autoDraw = False
26.6903 	EXP 	Photodiode_polygon: autoDraw = False
26.6903 	EXP 	Photodiode_plus: autoDraw = False
26.6903 	EXP 	Photodiode_2: autoDraw = True
26.7570 	DATA 	Mouse:  Left button up, pos=(790,493)
26.9903 	EXP 	Photodiode_2: autoDraw = False
28.2245 	EXP 	New trial (rep=7, index=0): <Trial 7 (0 in rep 7) data={'thisN': 7, 'thisTrialN': 0, 'thisRepN': 7}>
28.2403 	EXP 	text: autoDraw = False
28.2403 	EXP 	Photodiode_2: autoDraw = False
