thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,AVG.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Photodiode_2.stopped,Intertrial_Period.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9,0,9,[-0.37037037037037035],[0.14166666666666666],[1],[0],[0],[0.8673132006078959],0,0,0,0,9,0,9,0,85.19220810011029,,,,,,,,,,,,85.17635659966618,85.19220810011029,0.00029029976576566696,85.19220810011029,85.19220810011029,85.39231889974326,85.67588340025395,85.67588340025395,85.67588340025395,85.69259210024029,86.04438660014421,0.5,normal,0.36731320060789585,[-0.37037037037037035],[0.14166666666666666],[1],[0],[0],[0.8673132006078959],86.04480599984527,86.05950060021132,86.35979150049388,87.32810179982334,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
10,0,10,[-0.37037037037037035],[0.14166666666666666],[1],[0],[0],[1.5839942004531622],0,0,0,0,10,0,10,0,87.34382670000196,,,,,,,,,,,,87.32838129997253,87.34382670000196,0.00029879994690418243,87.34382670000196,87.34382670000196,87.54407269973308,88.52837010007352,88.52837010007352,88.52837010007352,88.54513449966908,88.91303960047662,1.1891985190369618,surprise,0.39479568141620036,[-0.37037037037037035],[0.14166666666666666],[1],[0],[0],[1.5839942004531622],88.91346659976989,88.92846750002354,89.22874779999256,90.54737859964371,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
11,0,11,[-0.37037037037037035],[0.14166666666666666],[1],[0],[0],[2.385084900073707],0,0,0,0,11,0,11,0,90.5632442003116,,,,,,,,,,,,90.54765359964222,90.5632442003116,0.0002841996029019356,90.5632442003116,90.5632442003116,90.7633455004543,92.54834119975567,92.54834119975567,92.54834119975567,92.5648964997381,92.93359750043601,2,normal,0.3850849000737071,[-0.37037037037037035],[0.14166666666666666],[1],[0],[0],[2.385084900073707],92.93416540045291,92.94869580026716,93.2485424997285,94.60072119999677,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
12,0,12,[-0.362962962962963],[0.1175925925925926],[1],[0],[0],[7.2059864001348615],0,0,0,0,12,0,12,0,94.61661799997091,,,,,,,,,,,,94.60096499975771,94.61661799997091,0.00024990085512399673,94.61661799997091,94.61661799997091,94.81669939961284,96.60155939962715,96.60155939962715,96.60155939962715,96.61826809961349,101.80789779964834,2,normal,5.2059864001348615,[-0.362962962962963],[0.1175925925925926],[1],[0],[0],[7.2059864001348615],101.80863669980317,101.82291470002383,102.12266840040684,103.02438309974968,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
13,0,13,[-0.362962962962963],[0.1175925925925926],[1],[0],[0],[3.4358883993700147],0,0,0,0,13,0,13,0,103.04039159975946,,,,,,,,,,,,103.02465770021081,103.04039159975946,0.00028590019792318344,103.04039159975946,103.04039159975946,103.24012750014663,103.5241315998137,103.5241315998137,103.5241315998137,103.54065109975636,106.46141880005598,0.5,normal,2.9358883993700147,[-0.362962962962963],[0.1175925925925926],[1],[0],[0],[3.4358883993700147],106.4618196003139,106.4765737997368,106.77659470029175,107.81157539971173,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
14,0,14,[-0.3638888888888889],[0.1111111111111111],[1],[0],[0],[2.835310500115156],0,0,0,0,14,0,14,0,107.82763169985265,,,,,,,,,,,,107.81186859961599,107.82763169985265,0.00031450018286705017,107.82763169985265,107.82763169985265,108.02751229982823,108.31125780008733,108.31125780008733,108.31125780008733,108.32787000015378,110.64804309979081,0.5,normal,2.335310500115156,[-0.3638888888888889],[0.1111111111111111],[1],[0],[0],[2.835310500115156],110.6484011001885,110.66328820027411,110.96349720004946,112.14844959974289,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
15,0,15,[-0.41388888888888886],[0.10833333333333334],[1],[0],[0],[16.012979900464416],0,0,0,0,15,0,15,0,112.16449190024287,,,,,,,,,,,,112.14871869981289,112.16449190024287,0.0002830997109413147,112.16449190024287,112.16449190024287,112.36464499961585,113.3323860000819,113.3323860000819,113.3323860000819,113.34882900025696,128.16253510024399,1.1754376204881671,surprise,14.837542279976248,[-0.41388888888888886],[0.10833333333333334],[1],[0],[0],[16.012979900464416],128.16300200019032,128.1778384996578,128.4779356000945,129.82989449985325,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
16,0,16,[-0.41759259259259257],[0.10925925925925926],[1],[0],[0],[1.45085640065372],0,0,0,0,16,0,16,0,129.84582480043173,,,,,,,,,,,,129.8301408002153,129.84582480043173,0.0002615004777908325,129.84582480043173,129.84582480043173,130.0460133003071,130.34575210046023,130.34575210046023,130.34575210046023,130.36307589989156,131.28187279962003,0.5,normal,0.9508564006537199,[-0.41759259259259257],[0.10925925925925926],[1],[0],[0],[1.45085640065372],131.28244059998542,131.29658239986748,131.59723019972444,132.94918620027602,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
17,0,17,[-0.4166666666666667],[0.10925925925925926],[1],[0],[0],[1.0171429999172688],0,0,0,0,17,0,17,0,132.96545960009098,,,,,,,,,,,,132.94938190001994,132.96545960009098,0.00020170025527477264,132.96545960009098,132.96545960009098,133.16576880030334,,,,,133.9671879997477,2,normal,-0.9828570000827312,[-0.4166666666666667],[0.10925925925925926],[1],[0],[0],[1.0171429999172688],133.9675177000463,133.9818606004119,134.28305369988084,135.46823170036077,133.9818606004119,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
18,0,18,[-0.42407407407407405],[0.10925925925925926],[1],[0],[0],[1.3999987002462149],0,0,0,0,18,0,18,0,135.4839441999793,,,,,,,,,,,,135.46850439999253,135.4839441999793,0.0002805003896355629,135.4839441999793,135.4839441999793,135.68403740040958,135.96793649997562,135.96793649997562,135.96793649997562,135.9847694998607,136.869280599989,0.5,normal,0.8999987002462149,[-0.42407407407407405],[0.10925925925925926],[1],[0],[0],[1.3999987002462149],136.8698292998597,136.88525759987533,137.18534190021455,138.37052439991385,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
