thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,text.started,BREAK.started,key_resp_5.started,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
23,0,23,[0.49],[0.013333333333333334],[1],[0],[0],[2.398960300022736],[],[],[],[],[],[],0,0,0,0,23,0,23,0,109.77889269997831,,,,,,,,,,,,109.77204750000965,109.77889269997831,0.00020000000949949026,109.77889269997831,109.9792313000653,111.76752600003965,111.76752600003965,111.76752600003965,111.77872229996137,112.17170569999143,2,task,0.3989603000227362,[0.49],[0.013333333333333334],[1],[0],[0],[2.398960300022736],112.17197889997624,112.17884499998763,0.0001431000418961048,112.47932689997833,113.78244600002654,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
24,0,24,[0.49],[0.013333333333333334],[1],[0],[0],[2.4243141999468207],[],[],[],[],[],[],0,0,0,0,24,0,24,0,113.78981470002327,,,,,,,,,,,,113.78276360000018,113.78981470002327,0.00025800010189414024,113.78981470002327,113.99051619996317,115.77864190004766,115.77864190004766,115.77864190004766,115.78979369997978,116.2080830000341,2,task,0.42431419994682074,[0.49],[0.013333333333333334],[1],[0],[0],[2.4243141999468207],116.20843140000943,116.22254430002067,0.00016589998267591,116.52323000004981,117.53841719997581,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
25,0,25,[0.49],[0.013333333333333334],[1],[0],[0],[2.556118099950254],[],[],[],[],[],[],0,0,0,0,25,0,25,0,117.54582730005495,,,,,,,,,,,,117.53869349998422,117.54582730005495,0.00020949996542185545,117.54582730005495,117.74586680007633,119.5343449000502,119.5343449000502,119.5343449000502,119.54510940006003,120.0956250000745,2,task,0.556118099950254,[0.49],[0.013333333333333334],[1],[0],[0],[2.556118099950254],120.0958840000676,120.10120170004666,0.0001373999984934926,120.40095959999599,121.75006580003537,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
26,0,26,[0.49],[0.013333333333333334],[1],[0],[0],[2.333148700068705],[],[],[],[],[],[],0,0,0,0,26,0,26,0,121.75625460001174,,,,,,,,,,,,121.75033169996459,121.75625460001174,0.00019940000493079424,121.75625460001174,121.95647269999608,123.7451779000694,123.7451779000694,123.7451779000694,123.7563163000159,124.08410810003988,2,task,0.3331487000687048,[0.49],[0.013333333333333334],[1],[0],[0],[2.333148700068705],124.0843968000263,124.08977750001941,0.0001517999917268753,124.40120990003925,125.30455880006775,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
27,0,27,[0.49],[0.013333333333333334],[1],[0],[0],[2.5098198000341654],[],[],[],[],[],[],0,0,0,0,27,0,27,0,125.31244140001945,,,,,,,,,,,,125.3048267000122,125.31244140001945,0.0002142000012099743,125.31244140001945,125.51191050000489,127.31260080006905,127.31260080006905,127.31260080006905,127.32334580004681,127.81525340001099,2,task,0.5098198000341654,[0.49],[0.013333333333333334],[1],[0],[0],[2.5098198000341654],127.81545580003876,127.82295699999668,9.190000128000975e-05,128.12315180001315,129.2372554000467,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
28,0,28,[0.49],[0.013333333333333334],[1],[0],[0],[2.435090299928561],[],[],[],[],[],[],0,0,0,0,28,0,28,0,129.2451885000337,,,,,,,,,,,,129.2374968000222,129.2451885000337,0.00019019993487745523,129.2451885000337,129.44496820005588,131.233802700066,131.233802700066,131.233802700066,131.24557739996817,131.67357260000426,2,task,0.43509029992856085,[0.49],[0.013333333333333334],[1],[0],[0],[2.435090299928561],131.6738328000065,131.678756600013,0.00012039998546242714,131.9786089999834,133.25971640006173,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
29,0,29,[0.49],[0.013333333333333334],[1],[0],[0],[2.4907367000123486],[],[],[],[],[],[],0,0,0,0,29,0,29,0,133.26719300006516,,,,,,,,,,,,133.25993339996785,133.26719300006516,0.00016629998572170734,133.26719300006516,133.46840680006426,135.25680820003618,135.25680820003618,135.25680820003618,135.26777599996421,135.75170949997846,2,task,0.4907367000123486,[0.49],[0.013333333333333334],[1],[0],[0],[2.4907367000123486],135.75201359996572,135.7677938999841,0.00014130002819001675,136.0675553000765,137.03677450004034,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
30,0,30,[0.49],[0.013333333333333334],[1],[0],[0],[2.3144172000465915],[],[],[],[],[],[],0,0,0,0,30,0,30,0,137.04538000002503,,,,,,,,,,,,137.03699799999595,137.04538000002503,0.00017619994468986988,137.04538000002503,137.24523850006517,139.0343157000607,139.0343157000607,139.0343157000607,139.04547420004383,139.35243980004452,2,task,0.31441720004659146,[0.49],[0.013333333333333334],[1],[0],[0],[2.3144172000465915],139.35316190007143,139.3675527999876,0.0003431000513955951,139.67102750006597,140.89630350004882,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
31,0,31,[0.49],[0.013333333333333334],[1],[0],[0],[2.453853699960746],[],[],[],[],[],[],0,0,0,0,31,0,31,0,140.91138130007312,,,,,,,,,,,,140.8966378000332,140.91138130007312,0.00026430003345012665,140.91138130007312,141.1119812000543,142.89015720004681,142.89015720004681,142.89015720004681,142.90079119999427,143.35136450000573,2,task,0.45385369996074587,[0.49],[0.013333333333333334],[1],[0],[0],[2.453853699960746],143.35164720006287,143.35627750004642,0.00011620006989687681,143.65689930005465,144.97129290003795,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
32,0,32,[0.49],[0.013333333333333334],[1],[0],[0],[2.3889863999793306],[],[],[],[],[],[],0,0,0,0,32,0,32,0,144.9784397999756,,,,,,,,,,,,144.97161070001312,144.9784397999756,0.00027760001830756664,144.9784397999756,145.17870060005225,146.96767380007077,146.96767380007077,146.96767380007077,146.9783466999652,147.36142219998874,2,task,0.3889863999793306,[0.49],[0.013333333333333334],[1],[0],[0],[2.3889863999793306],147.36167000001296,147.36700650001876,0.00011899997480213642,147.6675103000598,148.86411750002299,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
33,0,33,[0.49],[0.013333333333333334],[1],[0],[0],[2.4624100000364706],[],[],[],[],[],[],0,0,0,0,33,0,33,0,148.87777220003773,,,,,,,,,,,,148.86453979997896,148.87777220003773,0.0003155999584123492,148.87777220003773,149.07874170003925,150.867189600016,150.867189600016,150.867189600016,150.87802249996457,151.32772030006163,2,task,0.4624100000364706,[0.49],[0.013333333333333334],[1],[0],[0],[2.4624100000364706],151.3280007999856,151.33376359997783,0.00011979998089373112,151.63364190002903,152.82716660003643,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
34,0,34,[0.49],[0.013333333333333334],[1],[0],[0],[2.55531800002791],[],[],[],[],[],[],0,0,0,0,34,0,34,0,152.83380050002597,,,,,,,,,,,,152.82743770000525,152.83380050002597,0.00021319999359548092,152.83380050002597,153.0339884000132,154.82260940002743,154.82260940002743,154.82260940002743,154.8337562000379,155.38346949999686,2,task,0.5553180000279099,[0.49],[0.013333333333333334],[1],[0],[0],[2.55531800002791],155.38370620005298,155.3893972999649,0.0001097000204026699,155.68997229996603,156.91608830005862,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
35,0,35,[0.49],[0.013333333333333334],[1],[0],[0],[2.3876291000051424],[],[],[],[],[],[],0,0,0,0,35,0,35,0,156.92290880007204,,,,,,,,,,,,156.9163969999645,156.92290880007204,0.00022409996017813683,156.92290880007204,157.12273479998112,158.91146790003404,158.91146790003404,158.91146790003404,158.92290590004995,159.30482469999697,2,task,0.3876291000051424,[0.49],[0.013333333333333334],[1],[0],[0],[2.3876291000051424],159.30505840003025,159.3115766000701,0.00013489997945725918,159.61155949998647,160.70372700004373,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
36,0,36,[0.49],[0.013333333333333334],[1],[0],[0],[2.4112954000011086],[],[],[],[],[],[],0,0,0,0,36,0,36,0,160.71163020003587,,,,,,,,,,,,160.70394450007007,160.71163020003587,0.00017110002227127552,160.71163020003587,160.91099440003745,162.69988440000452,162.69988440000452,162.69988440000452,162.71146899997257,163.115871099988,2,task,0.41129540000110865,[0.49],[0.013333333333333334],[1],[0],[0],[2.4112954000011086],163.1160804000683,163.12236919999123,0.00012119999155402184,163.42240999999922,164.38185180001892,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
37,0,37,[0.49],[0.013333333333333334],[1],[0],[0],[2.389648500015028],[],[],[],[],[],[],0,0,0,0,37,0,37,0,164.38904679997358,,,,,,,,,,,,164.38218580000103,164.38904679997358,0.00026810006238520145,164.38904679997358,164.58884049998596,166.3778723999858,166.3778723999858,166.3778723999858,166.38936440006364,166.7727964000078,2,task,0.3896485000150278,[0.49],[0.013333333333333334],[1],[0],[0],[2.389648500015028],166.77311730000656,166.77811489999294,0.0001908999402076006,167.07850100006908,168.10297040001024,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
38,0,38,[0.49],[0.013333333333333334],[1],[0],[0],[2.3664622999494895],[],[],[],[],[],[],0,0,0,0,38,0,38,0,168.1113840000471,,,,,,,,,,,,168.10318530001678,168.1113840000471,0.00016850000247359276,168.1113840000471,168.31116330006626,170.0997649000492,170.0997649000492,170.0997649000492,170.11170660005882,170.47020750003867,2,task,0.36646229994948953,[0.49],[0.013333333333333334],[1],[0],[0],[2.3664622999494895],170.47040530003142,170.47762180003338,9.390001650899649e-05,170.77864779997617,172.03843519999646,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
39,0,39,[0.49],[0.013333333333333334],[1],[0],[0],[2.41005380009301],[],[],[],[],[],[],0,0,0,0,39,0,39,0,172.0447293999605,,,,,,,,,,,,172.03875910001807,172.0447293999605,0.0002625000197440386,172.0447293999605,172.24493410007562,174.0336236000294,174.0336236000294,174.0336236000294,174.0448077999754,174.44946979999077,2,task,0.41005380009301007,[0.49],[0.013333333333333334],[1],[0],[0],[2.41005380009301],174.44971720001195,174.45570880000014,0.00013189995661377907,174.7558713000035,175.9493999000406,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
40,0,40,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.422323300037533],[],[],[],[],[],[],0,0,0,0,40,0,40,0,175.95603220001794,,,,,,,,,,,,175.94970070000272,175.95603220001794,0.00023930007591843605,175.95603220001794,176.15624879999086,177.9453945000423,177.9453945000423,177.9453945000423,177.95547050004825,178.37299760000315,2,task,0.42232330003753304,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.422323300037533],178.37327159999404,178.37816339998972,0.00014159991405904293,178.67768970003817,180.03623339999467,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
41,0,41,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.4242810000432655],[],[],[],[],[],[],0,0,0,0,41,0,41,0,180.0445705000311,,,,,,,,,,,,180.03647529997397,180.0445705000311,0.0001965000992640853,180.0445705000311,180.2446598999668,182.03336420003325,182.03336420003325,182.03336420003325,182.04501300002448,182.46158030000515,2,task,0.4242810000432655,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.4242810000432655],182.46184450003784,182.46708670002408,0.00012670003343373537,182.7668066000333,184.02668570005335,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
42,0,42,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.409947899985127],[],[],[],[],[],[],0,0,0,0,42,0,42,0,184.0333827000577,,,,,,,,,,,,184.02698690001853,184.0333827000577,0.00023490004241466522,184.0333827000577,184.2333956999937,186.02176709997002,186.02176709997002,186.02176709997002,186.03289120004047,186.43778919999022,2,task,0.40994789998512715,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.409947899985127],186.43805070000235,186.4449053000426,0.00012960005551576614,186.7443494000472,187.89324090001173,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
43,0,43,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.7437619999982417],[],[],[],[],[],[],0,0,0,0,43,0,43,0,187.900156000047,,,,,,,,,,,,187.89349699998274,187.900156000047,0.00020349991973489523,187.900156000047,188.09988930006512,189.8890258000465,189.8890258000465,189.8890258000465,189.90022780001163,190.63792090001516,2,task,0.7437619999982417,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.7437619999982417],190.6381308999844,190.64391460001934,0.00010310008656233549,190.9438926000148,191.9694816999836,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
44,0,44,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.4683194000972435],[],[],[],[],[],[],0,0,0,0,44,0,44,0,191.97780009999406,,,,,,,,,,,,191.96974099997897,191.97780009999406,0.00021030008792877197,191.97780009999406,192.17786359996535,193.96654080005828,193.96654080005828,193.96654080005828,193.97744729998522,194.4387732000323,2,task,0.4683194000972435,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.4683194000972435],194.4390361000551,194.44417170004454,0.0001327999634668231,194.75537410005927,195.76517909998074,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
45,0,45,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.415952100069262],[],[],[],[],[],[],0,0,0,0,45,0,45,0,195.7766884000739,,,,,,,,,,,,195.76547400001436,195.7766884000739,0.00023390003480017185,195.7766884000739,195.97730909998063,197.7663713999791,197.7663713999791,197.7663713999791,197.77780340006575,198.18204910005443,2,task,0.4159521000692621,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.415952100069262],198.1822629000526,198.188491399982,0.00011750007979571819,198.48927819996607,199.50270149996504,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
46,0,46,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.379166299942881],[],[],[],[],[],[],0,0,0,0,46,0,46,0,199.51074950001203,,,,,,,,,,,,199.50294060003944,199.51074950001203,0.00019289995543658733,199.51074950001203,199.71116659999825,201.49995229998603,201.49995229998603,201.49995229998603,201.51093029999174,201.88285719999112,2,task,0.37916629994288087,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.379166299942881],201.88313570001628,201.88867070002016,0.00013109995052218437,202.18895159999374,203.0943769000005,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
47,0,47,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.409022699925117],[],[],[],[],[],[],0,0,0,0,47,0,47,0,203.10004489996936,,,,,,,,,,,,203.0946818999946,203.10004489996936,0.0002443999983370304,203.10004489996936,203.29980080004316,205.08873259997927,205.08873259997927,205.08873259997927,205.09973829996306,205.5045708999969,2,task,0.4090226999251172,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.409022699925117],205.50477230001707,205.51098959997762,9.640003554522991e-05,205.81109169998672,207.14835350005887,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
48,0,48,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.45531089999713],[],[],[],[],[],[],0,0,0,0,48,0,48,0,207.15531920001376,,,,,,,,,,,,207.1486114000436,207.15531920001376,0.00022950000129640102,207.15531920001376,207.35459370003082,209.14383169997018,209.14383169997018,209.14383169997018,209.15504440001678,209.6046645999886,2,task,0.45531089999713004,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.45531089999713],209.60493120003957,209.61048540007323,0.00011879997327923775,209.9104706000071,211.1924201999791,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
49,0,49,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.633445900049992],[],[],[],[],[],[],0,0,0,0,49,0,49,0,211.1997970000375,,,,,,,,,,,,211.19266100006644,211.1997970000375,0.0001789000816643238,211.1997970000375,211.3998380000703,213.1892154000234,213.1892154000234,213.1892154000234,213.2006640000036,213.8269148999825,2,task,0.6334459000499919,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.633445900049992],213.82718520006165,213.83311959996354,0.00013430009130388498,214.13312110002153,215.49128780001774,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
