thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,text.started,BREAK.started,key_resp_5.started,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,0,50,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.4018850999418646],[],[],[],[],[],[],0,0,0,0,50,0,50,0,215.49960950005334,,,,,,,,,,,,215.49154079996515,215.49960950005334,0.00021470000501722097,215.49960950005334,215.7002291000681,217.4889722999651,217.4889722999651,217.4889722999651,217.49999170005322,217.89447830000427,2,task,0.4018850999418646,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.4018850999418646],217.89474180003162,217.89998350001406,0.00013289996422827244,218.1996622000588,219.11448340001516,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
51,0,51,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.378948700032197],[],[],[],[],[],[],0,0,0,0,51,0,51,0,219.12165069999173,,,,,,,,,,,,219.11474710004404,219.12165069999173,0.00022250006441026926,219.12165069999173,219.3222861000104,221.11072570004035,221.11072570004035,221.11072570004035,221.12264590000268,221.49452970002312,2,task,0.37894870003219694,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.378948700032197],221.49491880007554,221.50001800002065,0.00015480001457035542,221.79941970005166,222.97015040006954,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
52,0,52,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.387150299968198],[],[],[],[],[],[],0,0,0,0,52,0,52,0,222.97706239996478,,,,,,,,,,,,222.97050399996806,222.97706239996478,0.00028229993768036366,222.97706239996478,223.1771502000047,224.96690590004437,224.96690590004437,224.96690590004437,224.9775785000529,225.3584691999713,2,task,0.38715029996819794,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.387150299968198],225.35868479998317,225.366208499996,0.00010740000288933516,225.66691330005415,226.669344700058,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
53,0,53,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.412826900021173],[],[],[],[],[],[],0,0,0,0,53,0,53,0,226.67735310003627,,,,,,,,,,,,226.66966270003468,226.67735310003627,0.0002544999588280916,226.67735310003627,226.87707180005964,228.66634080000222,228.66634080000222,228.66634080000222,228.67787969997153,229.08354670007247,2,task,0.41282690002117306,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.412826900021173],229.08380480005872,229.08824549999554,0.00012560002505779266,229.3922722999705,230.52691720006987,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
54,0,54,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.43205029994715],[],[],[],[],[],[],0,0,0,0,54,0,54,0,230.53274910000619,,,,,,,,,,,,230.52722819999326,230.53274910000619,0.00025809998624026775,230.53274910000619,230.73273010004777,232.52156180003658,232.52156180003658,232.52156180003658,232.5329298999859,232.96008980006445,2,task,0.43205029994715005,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.43205029994715],232.9604558000574,232.966117199976,0.00016840000171214342,233.26627630006988,234.42434590007178,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
55,0,55,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.4780766000039876],[],[],[],[],[],[],0,0,0,0,55,0,55,0,234.43222439999226,,,,,,,,,,,,234.4246315000346,234.43222439999226,0.0002410999732092023,234.43222439999226,234.6328663000604,236.42168090003543,236.42168090003543,236.42168090003543,236.43248099996708,236.90358320006635,2,task,0.47807660000398755,[0.5533333333333333],[0.0033333333333333335],[1],[0],[0],[2.4780766000039876],236.90383750002366,236.9108566000359,0.00012129999231547117,237.21029850002378,238.20396279997658,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
56,0,56,[0.5433333333333333],[0.016666666666666666],[1],[0],[0],[0.4336436000885442],[],[],[],[],[],[],0,0,0,0,56,0,56,0,238.21063280000817,,,,,,,,,,,,238.20423679996748,238.21063280000817,0.0002234000712633133,238.21063280000817,238.41033310000785,,,,,238.63877920003142,2,task,-1.5663563999114558,[0.5433333333333333],[0.016666666666666666],[1],[0],[0],[0.4336436000885442],238.63902930007316,238.6649330999935,0.00012280000373721123,238.9664264000021,240.18185930000618,[],[],[],[],[],[],238.6649330999935,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
57,0,57,[0.5433333333333333],[0.016666666666666666],[1],[0],[0],[2.507958000060171],[],[],[],[],[],[],0,0,0,0,57,0,57,0,240.18845799996052,,,,,,,,,,,,240.1821753999684,240.18845799996052,0.00025749998167157173,240.18845799996052,240.3883107000729,242.17729700007476,242.17729700007476,242.17729700007476,242.18818579998333,242.69093430007342,2,task,0.5079580000601709,[0.5433333333333333],[0.016666666666666666],[1],[0],[0],[2.507958000060171],242.69120380003005,242.6996128000319,0.00011609995272010565,242.9989325000206,244.28142070001923,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
58,0,58,[0.5433333333333333],[0.016666666666666666],[1],[0],[0],[2.509561500046402],[],[],[],[],[],[],0,0,0,0,58,0,58,0,244.29087050003,,,,,,,,,,,,244.28171300003305,244.29087050003,0.00023210002109408379,244.29087050003,244.4882052000612,246.2771999000106,246.2771999000106,246.2771999000106,246.28812519996427,246.79189069999848,2,task,0.5095615000464022,[0.5433333333333333],[0.016666666666666666],[1],[0],[0],[2.509561500046402],246.79211120004766,246.79892219998874,0.00010980002116411924,247.0988811000716,248.15915660001338,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
59,0,59,[0.5433333333333333],[0.016666666666666666],[1],[0],[0],[3.0437391999876127],[],[],[],[],[],[],0,0,0,0,59,0,59,0,248.1657766000135,,,,,,,,,,,,248.1594241000712,248.1657766000135,0.00021550001110881567,248.1657766000135,248.36962220002897,250.15483879996464,250.15483879996464,250.15483879996464,250.1662107000593,251.20407340000384,2,task,1.0437391999876127,[0.5433333333333333],[0.016666666666666666],[1],[0],[0],[3.0437391999876127],251.20431940001436,251.21068620006554,0.00012260000221431255,251.51003570004832,252.89215710002463,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
