thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,AVG.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Period.stopped,Photodiode_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9,0,9,[-0.21296296296296297],[0.1259259259259259],[1],[0],[0],[0.8842462003231049],0,0,0,0,9,0,9,0,38.37973910011351,,,,,,,,,,,,38.363908000290394,38.37973910011351,0.0001826006919145584,38.37973910011351,38.37973910011351,38.5800446998328,38.863665900193155,38.863665900193155,38.863665900193155,38.880349200218916,39.248940099962056,0.5,normal,0.38424620032310486,[-0.21296296296296297],[0.1259259259259259],[1],[0],[0],[0.8842462003231049],39.24925220012665,39.263971799984574,40.91601329948753,39.7643275000155,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
10,0,10,[-0.21296296296296297],[0.1259259259259259],[1],[0],[0],[0.7828259998932481],0,0,0,0,10,0,10,0,40.93226009979844,,,,,,,,,,,,40.91630379948765,40.93226009979844,0.000299699604511261,40.93226009979844,40.93226009979844,41.13257359992713,41.41611360013485,41.41611360013485,41.41611360013485,41.432402700185776,41.69967619981617,0.5,normal,0.2828259998932481,[-0.21296296296296297],[0.1259259259259259],[1],[0],[0],[0.7828259998932481],41.699971499852836,41.71605749987066,43.28469179943204,42.21646839939058,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
11,0,11,[-0.1824074074074074],[0.08611111111111111],[1],[0],[0],[2.2507426999509335],0,0,0,0,11,0,11,0,43.300731900148094,,,,,,,,,,,,43.285014499910176,43.300731900148094,0.00033239927142858505,43.300731900148094,43.300731900148094,43.50081899948418,45.2856978001073,45.2856978001073,45.2856978001073,45.30216890014708,45.536234099417925,2,normal,0.25074269995093346,[-0.1824074074074074],[0.08611111111111111],[1],[0],[0],[2.2507426999509335],45.53647859953344,45.552170500159264,47.087756199762225,,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
12,0,12,[-0.16296296296296298],[0.10648148148148148],[1],[0],[0],[2.2184335002675653],0,0,0,0,12,0,12,0,47.1037742998451,,,,,,,,,,,,47.088039400056005,47.1037742998451,0.00029639992862939835,47.1037742998451,47.1037742998451,47.30390219949186,49.088768899440765,49.088768899440765,49.088768899440765,49.10549850016832,49.30715959984809,2,normal,0.21843350026756525,[-0.16296296296296298],[0.10648148148148148],[1],[0],[0],[2.2184335002675653],49.307608699426055,49.32238559983671,50.94150499999523,,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
13,0,13,[-0.16296296296296298],[0.10648148148148148],[1],[0],[0],[2.267537400126457],0,0,0,0,13,0,13,0,50.95729750022292,,,,,,,,,,,,50.94182700011879,50.95729750022292,0.0003263000398874283,50.95729750022292,50.95729750022292,51.15742109995335,52.942245699465275,52.942245699465275,52.942245699465275,52.958743900060654,53.210055199451745,2,normal,0.2675374001264572,[-0.16296296296296298],[0.10648148148148148],[1],[0],[0],[2.267537400126457],53.21052160020918,53.22578989993781,54.52736169937998,,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
14,0,14,[-0.16296296296296298],[0.11851851851851852],[1],[0],[0],[2.4515019999817014],0,0,0,0,14,0,14,0,54.54329529963434,,,,,,,,,,,,54.52766320016235,54.54329529963434,0.00031480006873607635,54.54329529963434,54.54329529963434,54.74320700019598,56.52830810006708,56.52830810006708,56.52830810006708,56.54502830002457,56.97984439972788,2,normal,0.4515019999817014,[-0.16296296296296298],[0.11851851851851852],[1],[0],[0],[2.4515019999817014],56.98025429993868,56.995446000248194,58.631116500124335,,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
15,0,15,[-0.0824074074074074],[0.15555555555555556],[1],[0],[0],[1.7010687002912164],0,0,0,0,15,0,15,0,58.64669759944081,,,,,,,,,,,,58.63139189966023,58.64669759944081,0.0002896999940276146,58.64669759944081,58.64669759944081,58.84703919943422,60.08196080010384,60.08196080010384,60.08196080010384,60.098175999708474,60.33329680003226,1.4475062310487743,surprise,0.2535624692424421,[-0.0824074074074074],[0.15555555555555556],[1],[0],[0],[1.7010687002912164],60.33388049993664,60.34824800025672,61.8666898002848,61.799228799529374,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
16,0,16,[-0.0824074074074074],[0.15555555555555556],[1],[0],[0],[2.2679836992174387],0,0,0,0,16,0,16,0,61.88278550002724,,,,,,,,,,,,61.86694759968668,61.88278550002724,0.00026979949325323105,61.88278550002724,61.88278550002724,62.082973199896514,63.867717899382114,63.867717899382114,63.867717899382114,63.884456999599934,64.13565309997648,2,normal,0.2679836992174387,[-0.0824074074074074],[0.15555555555555556],[1],[0],[0],[2.2679836992174387],64.13611069973558,64.15125450026244,65.43639300018549,,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
17,0,17,[-0.06759259259259259],[0.18703703703703703],[1],[0],[0],[2.2849637996405363],0,0,0,0,17,0,17,0,65.45222179964185,,,,,,,,,,,,65.43664459977299,65.45222179964185,0.000263899564743042,65.45222179964185,65.45222179964185,65.65261640027165,67.43796379957348,67.43796379957348,67.43796379957348,67.4542929995805,67.7223118999973,2,normal,0.2849637996405363,[-0.06759259259259259],[0.18703703703703703],[1],[0],[0],[2.2849637996405363],67.72279889974743,67.73747880011797,69.02272639982402,,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
18,0,18,[-0.07314814814814814],[0.18703703703703703],[1],[0],[0],[2.2348528997972608],0,0,0,0,18,0,18,0,69.03869889955968,,,,,,,,,,,,69.0229941001162,69.03869889955968,0.00027959980070590973,69.03869889955968,69.03869889955968,69.23889129981399,71.02376089990139,71.02376089990139,71.02376089990139,71.04057129938155,71.25851259939373,2,normal,0.23485289979726076,[-0.07314814814814814],[0.18703703703703703],[1],[0],[0],[2.2348528997972608],71.25895040016621,71.27371079940349,72.7929144995287,,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
19,0,19,[-0.07314814814814814],[0.18703703703703703],[1],[0],[0],[2.234273700043559],0,0,0,0,19,0,19,0,72.80876289959997,,,,,,,,,,,,72.79320720024407,72.80876289959997,0.0002988995984196663,72.80876289959997,72.80876289959997,73.00867079943419,74.79290260002017,74.79290260002017,74.79290260002017,74.8100763997063,75.02811259962618,2,normal,0.23427370004355907,[-0.07314814814814814],[0.18703703703703703],[1],[0],[0],[2.234273700043559],75.02846339996904,75.04373850021511,76.36275350023061,,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
20,0,20,[-0.07592592592592592],[0.18333333333333332],[1],[0],[0],[2.4172409996390343],0,0,0,0,20,0,20,0,76.378217600286,,,,,,,,,,,,76.36304169986397,76.378217600286,0.0003003999590873718,76.378217600286,76.378217600286,76.57864229939878,78.36313289962709,78.36313289962709,78.36313289962709,78.37976279947907,78.78101599961519,2,normal,0.41724099963903427,[-0.07592592592592592],[0.18333333333333332],[1],[0],[0],[2.4172409996390343],78.78144589997828,78.7967922994867,80.44921489991248,,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
21,0,21,[-0.07962962962962963],[0.18333333333333332],[1],[0],[0],[2.1346402997151017],0,0,0,0,21,0,21,0,80.46515449974686,,,,,,,,,,,,80.44966849964112,80.46515449974686,0.0004575997591018677,80.46515449974686,80.46515449974686,80.66508749965578,82.4499629996717,82.4499629996717,82.4499629996717,82.4665612000972,82.58502809982747,2,normal,0.13464029971510172,[-0.07962962962962963],[0.18333333333333332],[1],[0],[0],[2.1346402997151017],82.58537410013378,82.6000205995515,83.96864790003747,,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
22,0,22,,,,,,,,,,,22,0,22,0,83.98493399936706,,,,,,,,,,,,83.96893810015172,83.98493399936706,0.0003054998815059662,83.98493399936706,83.98493399936706,84.18464459944516,,,,,,,,,,,,,,,,,,,,,,,,,,
