thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,text.started,BREAK.started,key_resp_5.started,text_3.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
14,0,14,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[0.8169297007843852],[],[],[],[],[],[],,,,0,0,0,0,14,0,14,0,66.18911809939891,,,,,,,,,,,,66.17357259988785,66.18911809939891,0.00029540061950683594,66.18911809939891,66.38924639951438,66.67289679963142,66.67289679963142,66.67289679963142,66.68964019976556,66.99119139928371,0.5,normal,0.3169297007843852,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[0.8169297007843852],66.99156529922038,67.0065827993676,0.00025120005011558533,67.3066786993295,68.60861989948899,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
15,0,15,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.3682840997353196],[],[],[],[],[],[],,,,0,0,0,0,15,0,15,0,68.62455569952726,,,,,,,,,,,,68.60896229930222,68.62455569952726,0.0002614995464682579,68.62455569952726,68.82471559941769,70.60948379989713,70.60948379989713,70.60948379989713,70.62614989932626,70.9780484996736,2,normal,0.3682840997353196,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.3682840997353196],70.97850199975073,70.99321729969233,0.0002956995740532875,71.29344319924712,72.51188999973238,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
16,0,16,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.351663799956441],[],[],[],[],[],[],,,,0,0,0,0,16,0,16,0,72.5276889000088,,,,,,,,,,,,72.512222699821,72.5276889000088,0.0002840999513864517,72.5276889000088,72.72791359946132,74.5127475997433,74.5127475997433,74.5127475997433,74.5295003997162,74.86470020003617,2,normal,0.3516637999564409,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.351663799956441],74.86514189932495,74.8789639994502,0.00028639938682317734,75.18019809946418,76.49850459955633,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
17,0,17,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.3515734001994133],[],[],[],[],[],[],,,,0,0,0,0,17,0,17,0,76.51440709922463,,,,,,,,,,,,76.49886019993573,76.51440709922463,0.00027929991483688354,76.51440709922463,76.71451019961387,78.49965299945325,78.49965299945325,78.49965299945325,78.51622019987553,78.85121889971197,2,normal,0.3515734001994133,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.3515734001994133],78.8516440000385,78.86699480004609,0.00027900002896785736,79.16663879994303,80.38484849967062,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
18,0,18,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[0.966886299662292],[],[],[],[],[],[],,,,0,0,0,0,18,0,18,0,80.40098899975419,,,,,,,,,,,,80.38518259953707,80.40098899975419,0.0002592001110315323,80.40098899975419,80.60084669943899,80.88462630007416,80.88462630007416,80.88462630007416,80.90070359967649,81.35292459931225,0.5,normal,0.466886299662292,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[0.966886299662292],81.35339399985969,81.36847729980946,0.00032040011137723923,81.66871249955148,82.87047989945859,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
19,0,19,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.4017126001417637],[],[],[],[],[],[],,,,0,0,0,0,19,0,19,0,82.88653420004994,,,,,,,,,,,,82.87080289982259,82.88653420004994,0.00024700071662664413,82.88653420004994,83.08659849967808,84.87136380001903,84.87136380001903,84.87136380001903,84.88818909972906,85.27335159946233,2,normal,0.4017126001417637,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.4017126001417637],85.27382459957153,85.28842969983816,0.0003375997766852379,85.58850559964776,86.67373339924961,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
20,0,20,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[1.3669237000867724],[],[],[],[],[],[],,,,0,0,0,0,20,0,20,0,86.68986149970442,,,,,,,,,,,,86.67405319958925,86.68986149970442,0.0002496996894478798,86.68986149970442,86.88973459973931,87.69041339959949,87.69041339959949,87.69041339959949,87.70711039938033,88.04159249924123,1.0113023931471017,surprise,0.35562130693967076,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[1.3669237000867724],88.04197409935296,88.057158799842,0.00024640001356601715,88.35774429980665,89.30903849937022,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
21,0,21,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[0.8002941003069282],[],[],[],[],[],[],,,,0,0,0,0,21,0,21,0,89.32503189984709,,,,,,,,,,,,89.3093830998987,89.32503189984709,0.0002717999741435051,89.32503189984709,89.52520560007542,89.80883600004017,89.80883600004017,89.80883600004017,89.82559329923242,90.11045709997416,0.5,normal,0.30029410030692816,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[0.8002941003069282],90.11085609998554,90.12579869944602,0.00025239959359169006,90.42571629956365,91.3268387997523,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
22,0,22,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.3357625994831324],[],[],[],[],[],[],,,,0,0,0,0,22,0,22,0,91.34365329984576,,,,,,,,,,,,91.3270147992298,91.34365329984576,0.00013300031423568726,91.34365329984576,91.54372319951653,93.32843019999564,93.32843019999564,93.32843019999564,93.34553339984268,93.6634858995676,2,normal,0.33576259948313236,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.3357625994831324],93.6639279993251,93.67877319920808,0.0002911994233727455,93.97897229995579,94.88048039935529,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
23,0,23,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[0.9340548999607563],[],[],[],[],[],[],,,,0,0,0,0,23,0,23,0,94.89647589996457,,,,,,,,,,,,94.88081809971482,94.89647589996457,0.00026659946888685226,94.89647589996457,95.09660059958696,95.38009139988571,95.38009139988571,95.38009139988571,95.39679659996182,95.81572519987822,0.5,normal,0.4340548999607563,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[0.9340548999607563],95.81640499923378,95.83065999951214,0.0005385996773838997,96.13068479951471,97.46595419943333,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
24,0,24,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.3349163001403213],[],[],[],[],[],[],,,,0,0,0,0,24,0,24,0,97.48160489927977,,,,,,,,,,,,97.46629009954631,97.48160489927977,0.0002543991431593895,97.48160489927977,97.68212029989809,99.46622340008616,99.46622340008616,99.46622340008616,99.48327119927853,99.80205419939011,2,normal,0.33491630014032125,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[2.3349163001403213],99.8024335000664,99.81716739945114,0.0002545006573200226,100.11746029928327,101.10126599948853,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
25,0,25,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[0.9016682002693415],[],[],[],[],[],[],,,,0,0,0,0,25,0,25,0,101.11796279996634,,,,,,,,,,,,101.10144739970565,101.11796279996634,0.00014749914407730103,101.11796279996634,101.31868019979447,101.60207769926637,101.60207769926637,101.60207769926637,101.61868989933282,102.00356539990753,0.5,normal,0.40166820026934147,[-0.23055555555555557],[0.06759259259259259],[1],[0],[0],[0.9016682002693415],102.00372689962387,102.01824399922043,0.00011279992759227753,102.31927759945393,103.42089169938117,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
26,0,26,[-0.7944444444444444],[-0.43796296296296294],[1],[0],[0],[2.318330000154674],[],[],[],[],[],[],,,,0,0,0,0,26,0,26,0,103.43711449950933,,,,,,,,,,,,103.42121039982885,103.43711449950933,0.0002485997974872589,103.43711449950933,103.63724599964917,105.42195570003241,105.42195570003241,105.42195570003241,105.43877679947764,105.74031780008227,2,normal,0.31833000015467405,[-0.7944444444444444],[-0.43796296296296294],[1],[0],[0],[2.318330000154674],105.74106229934841,105.75539699941874,0.000287800095975399,106.05553360003978,107.27420069929212,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
27,0,27,[-0.7944444444444444],[-0.43796296296296294],[1],[0],[0],[2.2847497994080186],[],[],[],[],[],[],,,,0,0,0,0,27,0,27,0,107.29001639969647,,,,,,,,,,,,107.27456629928201,107.29001639969647,0.00027949921786785126,107.29001639969647,107.4901035996154,109.27507779933512,109.27507779933512,109.27507779933512,109.29174019955099,109.56049169972539,2,normal,0.2847497994080186,[-0.7944444444444444],[-0.43796296296296294],[1],[0],[0],[2.2847497994080186],109.56107569951564,109.57537150010467,0.0004664994776248932,109.87557139992714,110.97595079988241,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
28,0,28,[-0.7944444444444444],[-0.43796296296296294],[1],[0],[0],[0.8185853008180857],[],[],[],[],[],[],,,,0,0,0,0,28,0,28,0,110.99263700004667,,,,,,,,,,,,110.97607829980552,110.99263700004667,9.67998057603836e-05,110.99263700004667,111.19323919992894,111.47683279961348,111.47683279961348,111.47683279961348,111.49352989997715,111.79534919932485,0.5,normal,0.31858530081808567,[-0.7944444444444444],[-0.43796296296296294],[1],[0],[0],[0.8185853008180857],111.79573299922049,111.81049629952759,0.0002498999238014221,112.11059829965234,113.07890279963613,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
29,0,29,[-0.7944444444444444],[-0.43796296296296294],[1],[0],[0],[2.3187447004020214],[],[],[],[],[],[],,,,0,0,0,0,29,0,29,0,113.09492189995944,,,,,,,,,,,,113.0792327998206,113.09492189995944,0.00025800056755542755,113.09492189995944,113.29494439996779,115.08004379924387,115.08004379924387,115.08004379924387,115.09660500008613,115.39874240010977,2,normal,0.3187447004020214,[-0.7944444444444444],[-0.43796296296296294],[1],[0],[0],[2.3187447004020214],115.39922839961946,115.4136124998331,0.0003168005496263504,115.71369979996234,116.78213019948453,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
30,0,30,[-0.7944444444444444],[-0.43796296296296294],[1],[0],[0],[0.8156890003010631],[],[],[],[],[],[],,,,0,0,0,0,30,0,30,0,116.7979710996151,,,,,,,,,,,,116.78248749952763,116.7979710996151,0.0002691000699996948,116.7979710996151,116.99720849934965,117.2817907994613,117.2817907994613,117.2817907994613,117.29846569988877,117.59874049946666,0.5,normal,0.31568900030106306,[-0.7944444444444444],[-0.43796296296296294],[1],[0],[0],[0.8156890003010631],117.59897779952735,117.61477129999548,0.00015540048480033875,117.91550529934466,119.05072980001569,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
31,0,31,[-0.7944444444444444],[-0.43796296296296294],[1],[0],[0],[2.318113999441266],[],[],[],[],[],[],,,,0,0,0,0,31,0,31,0,119.06673269998282,,,,,,,,,,,,119.05109829921275,119.06673269998282,0.0002814996987581253,119.06673269998282,119.26660569943488,121.05162720009685,121.05162720009685,121.05162720009685,121.06823869980872,121.37021029926836,2,normal,0.31811399944126606,[-0.7944444444444444],[-0.43796296296296294],[1],[0],[0],[2.318113999441266],121.37079309951514,121.38516279961914,0.0004230998456478119,121.68551249988377,122.67025689966977,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
32,0,32,[-0.7944444444444444],[-0.43796296296296294],[1],[0],[0],[2.3021044991910458],[],[],[],[],[],[],,,,0,0,0,0,32,0,32,0,122.68617719970644,,,,,,,,,,,,122.67059159930795,122.68617719970644,0.00026539992541074753,122.68617719970644,122.88633489981294,124.67117499932647,124.67117499932647,124.67117499932647,124.68794269952923,124.97362140007317,2,normal,0.30210449919104576,[-0.7944444444444444],[-0.43796296296296294],[1],[0],[0],[2.3021044991910458],124.97412979975343,124.98814359959215,0.00033709965646266937,125.2883232999593,126.44042779970914,[],[],[],[],[],[],,,,,,,,,,617985,001,2024-12-03_13h49.43.100,Foreperiod_task,2024.2.1post4,60.068213507155185,2024-12-03 13h50.05.488214 -0800,
