thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,BREAK.started,key_resp_5.started,text_3.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
3,0,3,[0.128125],[0.31875],[1],[0],[0],[1.833320900099352],[],[],[],[],[],[],,,,3,0,3,0,3,0,3,0,115.38860989990644,,,,,,,,,,,,115.3782637999393,115.38860989990644,0.00018500001169741154,115.38860989990644,115.58856240008026,116.81108430004679,116.81108430004679,116.81108430004679,116.8221007999964,117.21230920008384,1.4310546091592349,task,0.4022662909401171,[0.128125],[0.31875],[1],[0],[0],[1.833320900099352],117.2125349000562,117.22190900007263,9.409990161657333e-05,117.52181600010954,118.86682219989598,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
4,0,4,[0.128125],[0.31875],[1],[0],[0],[2.4113622999284416],[],[],[],[],[],[],,,,3,0,3,0,4,0,4,0,118.87737810006365,,,,,,,,,,,,118.86712220008485,118.87737810006365,0.0002429999876767397,118.87737810006365,119.07738179992884,120.86626449995674,120.86626449995674,120.86626449995674,120.87735889991745,121.2795053999871,2,task,0.41136229992844164,[0.128125],[0.31875],[1],[0],[0],[2.4113622999284416],121.27982480009086,121.28856989997439,0.00015590013936161995,121.58845730009489,122.6785460000392,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
5,0,5,[0.128125],[0.31875],[1],[0],[0],[1.5001383000053465],[],[],[],[],[],[],,,,3,0,3,0,5,0,5,0,122.68864990002476,,,,,,,,,,,,122.67887430009432,122.68864990002476,0.00025500007905066013,122.68864990002476,122.88863470009528,123.17768920003437,123.17768920003437,123.17768920003437,123.18862870009616,124.1800760999322,0.5,task,1.0001383000053465,[0.128125],[0.31875],[1],[0],[0],[1.5001383000053465],124.18035760009661,124.18857649993151,0.00012420001439750195,124.48841960006393,125.7111903000623,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
6,0,6,[0.128125],[0.31875],[1],[0],[0],[2.411151200067252],[],[],[],[],[],[],,,,3,0,3,0,6,0,6,0,125.72168050007895,,,,,,,,,,,,125.71149550005794,125.72168050007895,0.0002679999452084303,125.72168050007895,125.92165599996224,127.71084249997512,127.71084249997512,127.71084249997512,127.72194870002568,128.1233765000943,2,task,0.4111512000672519,[0.128125],[0.31875],[1],[0],[0],[2.411151200067252],128.12358539993875,128.13290779991075,0.00010390020906925201,128.43309010006487,129.69987030001357,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
7,0,7,[0.128125],[0.31875],[1],[0],[0],[2.3770634999964386],[],[],[],[],[],[],,,,3,0,3,0,7,0,7,0,129.71060779993422,,,,,,,,,,,,129.70004960009828,129.71060779993422,0.00014599994756281376,129.71060779993422,129.9106825001072,131.69967569992878,131.69967569992878,131.69967569992878,131.71071229991503,132.07800280000083,2,task,0.3770634999964386,[0.128125],[0.31875],[1],[0],[0],[2.3770634999964386],132.07823239988647,132.08731570001692,0.00011010002344846725,132.38824349991046,133.5779158999212,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
8,0,8,[0.128125],[0.31875],[1],[0],[0],[1.078371400013566],[],[],[],[],[],[],,,,3,0,3,0,8,0,8,0,133.58833439997397,,,,,,,,,,,,133.5781960999593,133.58833439997397,0.0002437999937683344,133.58833439997397,133.7885793999303,134.07729339995421,134.07729339995421,134.07729339995421,134.08849389990792,134.65762419998646,0.5,task,0.578371400013566,[0.128125],[0.31875],[1],[0],[0],[1.078371400013566],134.65787809994072,134.66599610005505,0.00011650007218122482,134.96603360003792,135.97802029992454,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
9,0,9,[0.128125],[0.31875],[1],[0],[0],[1.1113875000737607],[],[],[],[],[],[],,,,3,0,3,0,9,0,9,0,135.98841349990107,,,,,,,,,,,,135.97824750002474,135.98841349990107,0.0001604000572115183,135.98841349990107,136.1882611999754,136.47743400000036,136.47743400000036,136.47743400000036,136.48843170003965,137.0904172998853,0.5,task,0.6113875000737607,[0.128125],[0.31875],[1],[0],[0],[1.1113875000737607],137.09065370005555,137.09956469992176,0.00011470005847513676,137.39954679994844,138.71095860004425,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
3,0,3,,,,,,,,,,,,,space,2.335359400138259,None,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.71373840002343,138.72160910000093,138.72160910000093,141.06791389989667,space,2.335359400138259,None,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
0,0,0,[0.128125],[0.31875],[1],[0],[0],[0.8875396000221372],[],[],[],[],[],[],,,,4,0,4,0,0,0,0,0,141.0772259000223,,,,,,,,,,,,141.06858410011046,141.0772259000223,0.0006460000295192003,141.0772259000223,141.27693379996344,141.5660866999533,141.5660866999533,141.5660866999533,141.57722650002688,141.95701000001281,0.5,task,0.38753960002213717,[0.128125],[0.31875],[1],[0],[0],[0.8875396000221372],141.95732249994762,141.96594709996134,0.00013839988969266415,142.2659990999382,143.39998969994485,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
1,0,1,[0.128125],[0.31875],[1],[0],[0],[0.9886437999084592],[],[],[],[],[],[],,,,4,0,4,0,1,0,1,0,143.41032660007477,,,,,,,,,,,,143.40029600006528,143.41032660007477,0.00023410003632307053,143.41032660007477,143.6103644000832,143.89944799989462,143.89944799989462,143.89944799989462,143.91073699994013,144.38972350000404,0.5,task,0.4886437999084592,[0.128125],[0.31875],[1],[0],[0],[0.9886437999084592],144.38994730007835,144.39912350010127,9.849993512034416e-05,144.69931749999523,145.84410639991984,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
2,0,2,[0.128125],[0.31875],[1],[0],[0],[0.8666021998506039],[],[],[],[],[],[],,,,4,0,4,0,2,0,2,0,145.85459119989537,,,,,,,,,,,,145.84425999992527,145.85459119989537,0.0001238998956978321,145.85459119989537,146.05478899995796,146.34400789998472,146.34400789998472,146.34400789998472,146.35503649991006,146.71169200004078,0.5,task,0.36660219985060394,[0.128125],[0.31875],[1],[0],[0],[0.8666021998506039],146.71200209995732,146.72141649993137,0.00011999998241662979,147.0216840999201,148.02276220009662,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
3,0,3,[0.128125],[0.31875],[1],[0],[0],[1.6325634999666363],[],[],[],[],[],[],,,,4,0,4,0,3,0,3,0,148.03272089990787,,,,,,,,,,,,148.02307930006646,148.03272089990787,0.00023559993132948875,148.03272089990787,148.23271379992366,149.28849629987963,149.28849629987963,149.28849629987963,149.29965670011006,149.65655649988912,1.2695406770254272,task,0.36302282294120913,[0.128125],[0.31875],[1],[0],[0],[1.6325634999666363],149.65684149996378,149.66601040004753,0.0001468001864850521,149.96606269991025,150.85510740010068,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
4,0,4,[0.128125],[0.31875],[1],[0],[0],[1.18974669999443],[],[],[],[],[],[],,,,4,0,4,0,4,0,4,0,150.86574369994923,,,,,,,,,,,,150.85524570010602,150.86574369994923,0.00010609999299049377,150.86574369994923,151.06595390010625,151.35502850008197,151.35502850008197,151.35502850008197,151.36626979988068,152.04587820009328,0.5,task,0.68974669999443,[0.128125],[0.31875],[1],[0],[0],[1.18974669999443],152.04613859998062,152.05492209992371,0.00014619994908571243,152.35480319987983,153.45570409996435,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
5,0,5,[0.128125],[0.31875],[1],[0],[0],[2.3656780999153852],[],[],[],[],[],[],,,,4,0,4,0,5,0,5,0,153.4660078000743,,,,,,,,,,,,153.45613690000027,153.4660078000743,0.0003505998756736517,153.4660078000743,153.6660978998989,155.4552029001061,155.4552029001061,155.4552029001061,155.46617259993218,155.8223484000191,2,task,0.36567809991538525,[0.128125],[0.31875],[1],[0],[0],[2.3656780999153852],155.82246170006692,155.83229689998552,5.419994704425335e-05,156.13145980006084,157.155797699932,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
6,0,6,[0.128125],[0.31875],[1],[0],[0],[1.710616199998185],[],[],[],[],[],[],,,,4,0,4,0,6,0,6,0,157.16568570001982,,,,,,,,,,,,157.15608790004626,157.16568570001982,0.00022529996931552887,157.16568570001982,157.36554619995877,158.32153950002976,158.32153950002976,158.32153950002976,158.33270270004869,158.8675359999761,1.1706225428742503,task,0.5399936571239348,[0.128125],[0.31875],[1],[0],[0],[1.710616199998185],158.86774879996665,158.87704230006784,8.929986506700516e-05,159.17681080009788,160.5552153000608,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
7,0,7,[0.128125],[0.31875],[1],[0],[0],[0.8882699999958277],[],[],[],[],[],[],,,,4,0,4,0,7,0,7,0,160.56564339995384,,,,,,,,,,,,160.55549459997565,160.56564339995384,0.00020619994029402733,160.56564339995384,160.76563740009442,161.05491980002262,161.05491980002262,161.05491980002262,161.06651460006833,161.44431920000352,0.5,task,0.3882699999958277,[0.128125],[0.31875],[1],[0],[0],[0.8882699999958277],161.44446150003932,161.4544981000945,6.869994103908539e-05,161.7545914000366,162.89968440006487,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
8,0,8,[0.128125],[0.31875],[1],[0],[0],[2.3779245999176055],[],[],[],[],[],[],,,,4,0,4,0,8,0,8,0,162.91000299993902,,,,,,,,,,,,162.89998689992353,162.91000299993902,0.00023809983395040035,162.91000299993902,163.11017200001515,164.89917109999806,164.89917109999806,164.89917109999806,164.91033479990438,165.27872149995528,2,task,0.3779245999176055,[0.128125],[0.31875],[1],[0],[0],[2.3779245999176055],165.27893949998543,165.28781770006754,9.660003706812859e-05,165.58772849990055,166.66660070000216,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
9,0,9,[0.128125],[0.31875],[1],[0],[0],[1.0323425999376923],[],[],[],[],[],[],,,,4,0,4,0,9,0,9,0,166.6768763998989,,,,,,,,,,,,166.66690140007995,166.6768763998989,0.00023140013217926025,166.6768763998989,166.8767389000859,167.16594219999388,167.16594219999388,167.16594219999388,167.17696040007286,167.70014260010794,0.5,task,0.5323425999376923,[0.128125],[0.31875],[1],[0],[0],[1.0323425999376923],167.7004116999451,167.7100897000637,0.00011359993368387222,168.01000320003368,169.28838569996879,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
4,0,4,,,,,,,,,,,,,space,1.4795889998786151,None,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.2896600998938,169.29887890000828,169.29887890000828,170.7893809999805,space,1.4795889998786151,None,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
0,0,0,[0.128125],[0.31875],[1],[0],[0],[1.0982033000327647],[],[],[],[],[],[],,,,5,0,5,0,0,0,0,0,170.7986800998915,,,,,,,,,,,,170.78987809992395,170.7986800998915,0.00047369999811053276,170.7986800998915,170.99882089998573,171.2879989000503,171.2879989000503,171.2879989000503,171.29895219998434,171.88878670008853,0.5,task,0.5982033000327647,[0.128125],[0.31875],[1],[0],[0],[1.0982033000327647],171.88900680001825,171.89894989994355,0.00010160007514059544,172.19895630003884,173.27692990005016,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
1,0,1,[0.128125],[0.31875],[1],[0],[0],[2.56676089996472],[],[],[],[],[],[],,,,5,0,5,0,1,0,1,0,173.28778070001863,,,,,,,,,,,,173.27712369989604,173.28778070001863,0.0001574999187141657,173.28778070001863,173.48768300004303,175.27682429994456,175.27682429994456,175.27682429994456,175.2880730999168,175.84442540002055,2,task,0.56676089996472,[0.128125],[0.31875],[1],[0],[0],[2.56676089996472],175.84455129993148,175.8544050999917,6.479979492723942e-05,176.15340099995956,177.50045170006342,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
2,0,2,[0.128125],[0.31875],[1],[0],[0],[0.9888209998607635],[],[],[],[],[],[],,,,5,0,5,0,2,0,2,0,177.51010440010577,,,,,,,,,,,,177.50087799993344,177.51010440010577,0.0003299000672996044,177.51010440010577,177.71014730003662,177.99782510008663,177.99782510008663,177.99782510008663,178.00903229997493,178.490986000048,0.5,task,0.48882099986076355,[0.128125],[0.31875],[1],[0],[0],[0.9888209998607635],178.4913667999208,178.49781590001658,0.00017910008318722248,178.7990296999924,179.71136999991722,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
3,0,3,[0.128125],[0.31875],[1],[0],[0],[2.410861600190401],[],[],[],[],[],[],,,,5,0,5,0,3,0,3,0,179.72123780008405,,,,,,,,,,,,179.711789800087,179.72123780008405,0.0003246001433581114,179.72123780008405,179.92128830007277,181.71025789994746,181.71025789994746,181.71025789994746,181.72138740005903,182.12388579989783,2,task,0.4108616001904011,[0.128125],[0.31875],[1],[0],[0],[2.410861600190401],182.12424880010076,182.13228800008073,0.00016769999638199806,182.43240029993467,183.77741610002704,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
4,0,4,[0.128125],[0.31875],[1],[0],[0],[2.5107761998660862],[],[],[],[],[],[],,,,5,0,5,0,4,0,4,0,183.78774629998952,,,,,,,,,,,,183.77786840009503,183.78774629998952,0.00032299989834427834,183.78774629998952,183.98798849992454,185.77554649999365,185.77554649999365,185.77554649999365,185.7865865000058,186.28961610002443,2,task,0.5107761998660862,[0.128125],[0.31875],[1],[0],[0],[2.5107761998660862],186.28986830008216,186.29870179994032,0.00011959997937083244,186.59896879992448,187.95606389991008,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
5,0,5,[0.128125],[0.31875],[1],[0],[0],[2.554473999887705],[],[],[],[],[],[],,,,5,0,5,0,5,0,5,0,187.9656615999993,,,,,,,,,,,,187.95653240010142,187.9656615999993,0.0003353999927639961,187.9656615999993,188.16560490010306,189.95456309989095,189.95456309989095,189.95456309989095,189.96560729993507,190.51229420001619,2,task,0.5544739998877048,[0.128125],[0.31875],[1],[0],[0],[2.554473999887705],190.51270739990287,190.52090099989437,0.00016700010746717453,190.8212760000024,191.76677230000496,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
6,0,6,[0.128125],[0.31875],[1],[0],[0],[2.5092284998390824],[],[],[],[],[],[],,,,5,0,5,0,6,0,6,0,191.77668490004726,,,,,,,,,,,,191.7672139001079,191.77668490004726,0.0003472999669611454,191.77668490004726,191.97642270009965,193.76545669999905,193.76545669999905,193.76545669999905,193.77658910001628,194.2773203998804,2,task,0.5092284998390824,[0.128125],[0.31875],[1],[0],[0],[2.5092284998390824],194.27756360010244,194.28745279996656,0.00010959990322589874,194.58766800002195,195.66621849988587,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
7,0,7,[0.128125],[0.31875],[1],[0],[0],[2.3776879999786615],[],[],[],[],[],[],,,,5,0,5,0,7,0,7,0,195.67624829988927,,,,,,,,,,,,195.66649030009285,195.67624829988927,0.00020960019901394844,195.67624829988927,195.87614449998364,197.66552929999307,197.66552929999307,197.66552929999307,197.67651830008253,198.0450947000645,2,task,0.37768799997866154,[0.128125],[0.31875],[1],[0],[0],[2.3776879999786615],198.04533779993653,198.05410859989934,0.00011279992759227753,198.35406200005673,199.59929609997198,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
8,0,8,[0.128125],[0.31875],[1],[0],[0],[0.9999997999984771],[],[],[],[],[],[],,,,5,0,5,0,8,0,8,0,199.6095229999628,,,,,,,,,,,,199.59959289990366,199.6095229999628,0.0002360998187214136,199.6095229999628,199.80968720000237,200.0989218999166,200.0989218999166,200.0989218999166,200.10975309996866,200.60039709997363,0.5,task,0.4999997999984771,[0.128125],[0.31875],[1],[0],[0],[0.9999997999984771],200.60061990004033,200.60968029987998,0.0001246999017894268,200.90953049995005,201.93241730006412,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
9,0,9,[0.128125],[0.31875],[1],[0],[0],[0.93329369998537],[],[],[],[],[],[],,,,5,0,5,0,9,0,9,0,201.9428042001091,,,,,,,,,,,,201.9327006000094,201.9428042001091,0.00021629990078508854,201.9428042001091,202.14302229997702,202.43229150003754,202.43229150003754,202.43229150003754,202.4431753999088,202.86660930002108,0.5,task,0.43329369998537004,[0.128125],[0.31875],[1],[0],[0],[0.93329369998537],202.8667377999518,202.87617109995335,5.819997750222683e-05,203.17636579996906,204.08816569996998,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
5,0,5,,,,,,,,,,,,,space,0.8455666000954807,None,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.09082880010828,204.09849129989743,204.09849129989743,204.9556458001025,space,0.8455666000954807,None,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
0,0,0,[0.128125],[0.31875],[1],[0],[0],[2.443750499980524],[],[],[],[],[],[],,,,6,0,6,0,0,0,0,0,204.9650483999867,,,,,,,,,,,,204.95629639993422,204.9650483999867,0.000627199886366725,204.9650483999867,205.16520699998364,206.9540593000129,206.9540593000129,206.9540593000129,206.9653131000232,207.40081200003624,2,task,0.4437504999805242,[0.128125],[0.31875],[1],[0],[0],[2.443750499980524],207.40101239993237,207.40952609991655,9.190011769533157e-05,207.70952500007115,208.63257170002908,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
1,0,1,[0.128125],[0.31875],[1],[0],[0],[2.477994500193745],[],[],[],[],[],[],,,,6,0,6,0,1,0,1,0,208.6428437998984,,,,,,,,,,,,208.6327460000757,208.6428437998984,0.00013320008292794228,208.6428437998984,208.84274880005978,210.6319657000713,210.6319657000713,210.6319657000713,210.64308579987846,211.11163719999604,2,task,0.4779945001937449,[0.128125],[0.31875],[1],[0],[0],[2.477994500193745],211.1118554000277,211.12044030008838,9.620003402233124e-05,211.4206638999749,212.35498709999956,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
2,0,2,[0.128125],[0.31875],[1],[0],[0],[0.9107346998061985],[],[],[],[],[],[],,,,6,0,6,0,2,0,2,0,212.36511519993655,,,,,,,,,,,,212.35528260003775,212.36511519993655,0.0002343999221920967,212.36511519993655,212.5650315999519,212.8540076999925,212.8540076999925,212.8540076999925,212.86513999989256,213.26684290007688,0.5,task,0.4107346998061985,[0.128125],[0.31875],[1],[0],[0],[0.9107346998061985],213.26712860004045,213.27584100002423,0.00012070010416209698,213.5760971000418,214.81021740008146,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
3,0,3,[0.128125],[0.31875],[1],[0],[0],[0.9324042999651283],[],[],[],[],[],[],,,,6,0,6,0,3,0,3,0,214.82061660010368,,,,,,,,,,,,214.81057409988716,214.82061660010368,0.00028609996661543846,214.82061660010368,215.0205826999154,215.3096862998791,215.3096862998791,215.3096862998791,215.32079800008796,215.74378530005924,0.5,task,0.4324042999651283,[0.128125],[0.31875],[1],[0],[0],[0.9324042999651283],215.74401869997382,215.7535741000902,0.00011030002497136593,216.05376549996436,217.27673400007188,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
4,0,4,[0.128125],[0.31875],[1],[0],[0],[1.2776275998912752],[],[],[],[],[],[],,,,6,0,6,0,4,0,4,0,217.2871870000381,,,,,,,,,,,,217.27703809994273,217.2871870000381,0.0002484000287950039,217.2871870000381,217.4871946000494,217.77632070006803,217.77632070006803,217.77632070006803,217.78739439998753,218.55545319989324,0.5,task,0.7776275998912752,[0.128125],[0.31875],[1],[0],[0],[1.2776275998912752],218.55565909994766,218.564917499898,9.429990313947201e-05,218.8647869999986,220.1434472000692,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
5,0,5,[0.128125],[0.31875],[1],[0],[0],[0.8661338000092655],[],[],[],[],[],[],,,,6,0,6,0,5,0,5,0,220.15387089992873,,,,,,,,,,,,220.14374609990045,220.15387089992873,0.0002342001534998417,220.15387089992873,220.3535847000312,220.64283640007488,220.64283640007488,220.64283640007488,220.65398630010895,221.0105936001055,0.5,task,0.36613380000926554,[0.128125],[0.31875],[1],[0],[0],[0.8661338000092655],221.01076880004257,221.02033729990944,7.870001718401909e-05,221.32051129988395,222.35486690001562,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
6,0,6,[0.128125],[0.31875],[1],[0],[0],[0.9876818999182433],[],[],[],[],[],[],,,,6,0,6,0,6,0,6,0,222.364810799947,,,,,,,,,,,,222.3551813000813,222.364810799947,0.0002373000606894493,222.364810799947,222.56500290008262,,,,,223.34383270004764,2,task,-1.0123181000817567,[0.128125],[0.31875],[1],[0],[0],[0.9876818999182433],223.34408359997906,223.3538764999248,0.00011560018174350262,223.65386010007933,224.8987922000233,[],[],[],[],[],[],,,,,,,,223.3538764999248,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
7,0,7,[0.128125],[0.31875],[1],[0],[0],[0.9554665999021381],[],[],[],[],[],[],,,,6,0,6,0,7,0,7,0,224.9091890999116,,,,,,,,,,,,224.89904899988323,224.9091890999116,0.00019740010611712933,224.9091890999116,225.10915339994244,225.3982937000692,225.3982937000692,225.3982937000692,225.40939390007406,225.8551465999335,0.5,task,0.4554665999021381,[0.128125],[0.31875],[1],[0],[0],[0.9554665999021381],225.8552808999084,225.86482780007645,6.0900114476680756e-05,226.16488229995593,227.08757380000316,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
8,0,8,[0.128125],[0.31875],[1],[0],[0],[0.9774789002258331],[],[],[],[],[],[],,,,6,0,6,0,8,0,8,0,227.0980948000215,,,,,,,,,,,,227.08780839992687,227.0980948000215,0.00018439977429807186,227.0980948000215,227.29813449992798,227.58716259989887,227.58716259989887,227.58716259989887,227.59844539989717,228.0660240999423,0.5,task,0.47747890022583306,[0.128125],[0.31875],[1],[0],[0],[0.9774789002258331],228.06625559995882,228.07587369997054,0.0001088001299649477,228.37575950007886,229.70954849990085,[],[],[],[],[],[],,,,,,,,,818308,001,2025-02-03_07h59.07.197,Foreperiod_task,2024.2.4,89.99037099888842,2025-02-03 07h59.13.772298 -0800,
