thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,AVG.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Photodiode_2.stopped,Intertrial_Period.stopped,text.started,BREAK.started,Instructions.started,key_resp_5.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
42,0,42,[-0.3472222222222222],[-0.2953703703703704],[1],[0],[0],[2.3350889002904296],,,,3,0,3,0,42,0,42,0,1234.077865799889,,,,,,,,,,,,1234.0621660007164,1234.077865799889,0.0002769995480775833,1234.077865799889,1234.077865799889,1234.2780846999958,1236.0629380000755,1236.0629380000755,1236.0629380000755,1236.079315200448,1236.397915000096,2,normal,0.3350889002904296,[-0.3472222222222222],[-0.2953703703703704],[1],[0],[0],[2.3350889002904296],1236.398212700151,1236.4132308000699,1236.7134624002501,1238.0153259998187,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
43,0,43,[-0.3472222222222222],[-0.2953703703703704],[1],[0],[0],[0.9172924999147654],,,,3,0,3,0,43,0,43,0,1238.0313175003976,,,,,,,,,,,,1238.0155873000622,1238.0313175003976,0.0002776002511382103,1238.0313175003976,1238.0313175003976,1238.231434000656,1238.5151794003323,1238.5151794003323,1238.5151794003323,1238.531604300253,1238.9336688006297,0.5,normal,0.41729249991476536,[-0.3472222222222222],[-0.2953703703703704],[1],[0],[0],[0.9172924999147654],1238.9340264005587,1238.947890500538,1239.2487842002884,1240.2169823003933,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
44,0,44,[-0.3472222222222222],[-0.2953703703703704],[1],[0],[0],[2.4020835999399424],,,,3,0,3,0,44,0,44,0,1240.2330701006576,,,,,,,,,,,,1240.2172603001818,1240.2330701006576,0.00029349979013204575,1240.2330701006576,1240.2330701006576,1240.4330679001287,1242.2179904999211,1242.2179904999211,1242.2179904999211,1242.2346603004262,1242.6201315000653,2,normal,0.40208359993994236,[-0.3472222222222222],[-0.2953703703703704],[1],[0],[0],[2.4020835999399424],1242.6206204006448,1242.6350996000692,1242.9354728003964,1244.1869863998145,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
45,0,45,[-0.3472222222222222],[-0.2953703703703704],[1],[0],[0],[0.9837656999006867],,,,3,0,3,0,45,0,45,0,1244.2028830004856,,,,,,,,,,,,1244.1872198004276,1244.2028830004856,0.00024139974266290665,1244.2028830004856,1244.2028830004856,1244.4030832005665,1244.686497900635,1244.686497900635,1244.686497900635,1244.7033552005887,1245.1719136005268,0.5,normal,0.48376569990068674,[-0.3472222222222222],[-0.2953703703703704],[1],[0],[0],[0.9837656999006867],1245.1722691003233,1245.1871621003374,1245.4874479006976,1246.8224028004333,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
46,0,46,[-0.34814814814814815],[-0.2935185185185185],[1],[0],[0],[2.518692299723625],,,,3,0,3,0,46,0,46,0,1246.838556700386,,,,,,,,,,,,1246.8226812006906,1246.838556700386,0.00029639992862939835,1246.838556700386,1246.838556700386,1247.0387227004394,1248.8234541006386,1248.8234541006386,1248.8234541006386,1248.840220500715,1249.3421924998984,2,normal,0.5186922997236252,[-0.34814814814814815],[-0.2935185185185185],[1],[0],[0],[2.518692299723625],1249.3426466006786,1249.3573143007234,1249.6575319003314,1250.5423860000446,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
47,0,47,[-0.34814814814814815],[-0.2935185185185185],[1],[0],[0],[2.4017726005986333],,,,3,0,3,0,47,0,47,0,1250.5582889998332,,,,,,,,,,,,1250.5426730001345,1250.5582889998332,0.00030220020562410355,1250.5582889998332,1250.5582889998332,1250.7585241002962,1252.5432425998151,1252.5432425998151,1252.5432425998151,1252.560108200647,1252.9452430000529,2,normal,0.4017726005986333,[-0.34814814814814815],[-0.2935185185185185],[1],[0],[0],[2.4017726005986333],1252.9458105005324,1252.9603388998657,1253.2607543002814,1254.528862300329,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
48,0,48,[-0.34814814814814815],[-0.2935185185185185],[1],[0],[0],[0.8505376996472478],,,,3,0,3,0,48,0,48,0,1254.5449649002403,,,,,,,,,,,,1254.5290807001293,1254.5449649002403,0.00023060012608766556,1254.5449649002403,1254.5449649002403,1254.7450854005292,1255.0288177002221,1255.0288177002221,1255.0288177002221,1255.045391900465,1255.3803415000439,0.5,normal,0.3505376996472478,[-0.34814814814814815],[-0.2935185185185185],[1],[0],[0],[0.8505376996472478],1255.3807757999748,1255.3957666000351,1255.6961006000638,1256.9307842999697,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
49,0,49,[-0.34814814814814815],[-0.2935185185185185],[1],[0],[0],[0.9506630999967456],,,,3,0,3,0,49,0,49,0,1256.9469020003453,,,,,,,,,,,,1256.9310456998646,1256.9469020003453,0.00027929991483688354,1256.9469020003453,1256.9469020003453,1257.1476929998025,1257.4307754002512,1257.4307754002512,1257.4307754002512,1257.4473783001304,1257.8825424006209,0.5,normal,0.4506630999967456,[-0.34814814814814815],[-0.2935185185185185],[1],[0],[0],[0.9506630999967456],1257.882947000675,1257.8979088002816,1258.1979267001152,1259.4993560006842,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
50,0,50,[-0.34814814814814815],[-0.2935185185185185],[1],[0],[0],[2.3856591004878283],,,,3,0,3,0,50,0,50,0,1259.5157785005867,,,,,,,,,,,,1259.4995404006913,1259.5157785005867,0.00019539985805749893,1259.5157785005867,1259.5157785005867,1259.7159144002944,1261.500715999864,1261.500715999864,1261.500715999864,1261.5174572998658,1261.885963300243,2,normal,0.38565910048782825,[-0.34814814814814815],[-0.2935185185185185],[1],[0],[0],[2.3856591004878283],1261.8864011000842,1261.9010879006237,1262.2012299001217,1263.2361512007192,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
51,0,51,[-0.34814814814814815],[-0.2935185185185185],[1],[0],[0],[2.335040899924934],,,,3,0,3,0,51,0,51,0,1263.2524613002315,,,,,,,,,,,,1263.2364015998319,1263.2524613002315,0.0002733999863266945,1263.2524613002315,1263.2524613002315,1263.452383699827,1265.237228400074,1265.237228400074,1265.237228400074,1265.2539629004896,1265.5721192006022,2,normal,0.3350408999249339,[-0.34814814814814815],[-0.2935185185185185],[1],[0],[0],[2.335040899924934],1265.5724876001477,1265.5874365000054,1265.8877891004086,1267.0724606998265,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
