thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,AVG.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Photodiode_2.stopped,Intertrial_Period.stopped,BREAK.started,Instructions.started,key_resp_5.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
20,0,20,[-0.11481481481481481],[0.18981481481481483],[1],[0],[0],[2.3015743996948004],,,,2,0,2,0,20,0,20,0,718.0769563000649,,,,,,,,,,,,718.0613047005609,718.0769563000649,0.00034009944647550583,718.0769563000649,718.0769563000649,718.2770536001772,720.0619521001354,720.0619521001354,720.0619521001354,720.0788679001853,720.3637258000672,2,normal,0.3015743996948004,[-0.11481481481481481],[0.18981481481481483],[1],[0],[0],[2.3015743996948004],720.3641865001991,720.3789592999965,720.6793042002246,721.7472513001412,,,,,,,,,,Bradley_Zn,001,2024-11-13_10h31.09.822,Foreperiod_task,2024.2.1post4,60.01579622195129,2024-11-13 10h31.20.448948 -0800,
21,0,21,[-0.11481481481481481],[0.18981481481481483],[1],[0],[0],[0.8839259995147586],,,,2,0,2,0,21,0,21,0,721.7633293000981,,,,,,,,,,,,721.7475137002766,721.7633293000981,0.0002800002694129944,721.7633293000981,721.7633293000981,721.9632119005546,722.247127099894,722.247127099894,722.247127099894,722.2638375004753,722.632132800296,0.5,normal,0.3839259995147586,[-0.11481481481481481],[0.18981481481481483],[1],[0],[0],[0.8839259995147586],722.6325324000791,722.647662400268,722.947597200051,724.232812399976,,,,,,,,,,Bradley_Zn,001,2024-11-13_10h31.09.822,Foreperiod_task,2024.2.1post4,60.01579622195129,2024-11-13 10h31.20.448948 -0800,
22,0,22,[-0.11481481481481481],[0.18981481481481483],[1],[0],[0],[0.8502914998680353],,,,2,0,2,0,22,0,22,0,724.2488016998395,,,,,,,,,,,,724.2331041004509,724.2488016998395,0.00033169984817504883,724.2488016998395,724.2488016998395,724.4491245001554,724.7319592004642,724.7319592004642,724.7319592004642,724.7489176997915,725.0842473004013,0.5,normal,0.3502914998680353,[-0.11481481481481481],[0.18981481481481483],[1],[0],[0],[0.8502914998680353],725.0846603000537,725.0993352001533,725.3998265005648,726.6348569998518,,,,,,,,,,Bradley_Zn,001,2024-11-13_10h31.09.822,Foreperiod_task,2024.2.1post4,60.01579622195129,2024-11-13 10h31.20.448948 -0800,
23,0,23,[-0.11481481481481481],[0.18981481481481483],[1],[0],[0],[2.301694200374186],,,,2,0,2,0,23,0,23,0,726.650861300528,,,,,,,,,,,,726.6351629998535,726.650861300528,0.0003208005800843239,726.650861300528,726.650861300528,726.8511067004874,728.6359713003039,728.6359713003039,728.6359713003039,728.6525832004845,728.9376403996721,2,normal,0.30169420037418604,[-0.11481481481481481],[0.18981481481481483],[1],[0],[0],[2.301694200374186],728.9380965000018,728.9528251001611,729.2528127003461,730.2046742998064,,,,,,,,,,Bradley_Zn,001,2024-11-13_10h31.09.822,Foreperiod_task,2024.2.1post4,60.01579622195129,2024-11-13 10h31.20.448948 -0800,
24,0,24,[-0.11481481481481481],[0.18981481481481483],[1],[0],[0],[1.3172859996557236],,,,2,0,2,0,24,0,24,0,730.2205122001469,,,,,,,,,,,,730.2049280004576,730.2205122001469,0.00028849951922893524,730.2205122001469,730.2205122001469,730.4207597002387,731.2214134000242,731.2214134000242,731.2214134000242,731.2380734002218,731.523102699779,1.0043942755035709,surprise,0.3128917241521527,[-0.11481481481481481],[0.18981481481481483],[1],[0],[0],[1.3172859996557236],731.5234925998375,731.5381551999599,731.8385733999312,732.7899879002944,,,,,,,,,,Bradley_Zn,001,2024-11-13_10h31.09.822,Foreperiod_task,2024.2.1post4,60.01579622195129,2024-11-13 10h31.20.448948 -0800,
25,0,25,[-0.11481481481481481],[0.18981481481481483],[1],[0],[0],[2.3181520998477936],,,,2,0,2,0,25,0,25,0,732.8060324005783,,,,,,,,,,,,732.7902824003249,732.8060324005783,0.0003055008128285408,732.8060324005783,732.8060324005783,733.0062613999471,734.7908830996603,734.7908830996603,734.7908830996603,734.8076470000669,735.1091870004311,2,normal,0.3181520998477936,[-0.11481481481481481],[0.18981481481481483],[1],[0],[0],[2.3181520998477936],735.1096093999222,735.124536300078,735.4247815003619,736.3100525997579,,,,,,,,,,Bradley_Zn,001,2024-11-13_10h31.09.822,Foreperiod_task,2024.2.1post4,60.01579622195129,2024-11-13 10h31.20.448948 -0800,
26,0,26,[-0.11481481481481481],[0.18981481481481483],[1],[0],[0],[0.8820258993655443],,,,2,0,2,0,26,0,26,0,736.3257400998846,,,,,,,,,,,,736.3103748997673,736.3257400998846,0.00033400021493434906,736.3257400998846,736.3257400998846,736.5257719997317,736.8251993004233,736.8251993004233,736.8251993004233,736.8419254999608,737.1928101005033,0.5,normal,0.3820258993655443,[-0.11481481481481481],[0.18981481481481483],[1],[0],[0],[0.8820258993655443],737.1929703997448,737.2090809997171,737.5100274998695,738.4113715002313,,,,,,,,,,Bradley_Zn,001,2024-11-13_10h31.09.822,Foreperiod_task,2024.2.1post4,60.01579622195129,2024-11-13 10h31.20.448948 -0800,
27,0,27,[-0.11481481481481481],[0.18981481481481483],[1],[0],[0],[1.7008910002186894],,,,2,0,2,0,27,0,27,0,738.4273915998638,,,,,,,,,,,,738.411640400067,738.4273915998638,0.0002872999757528305,738.4273915998638,738.4273915998638,738.6274496996775,739.8118732003495,739.8118732003495,739.8118732003495,739.8285488998517,740.1132752997801,1.3972884235853054,surprise,0.3036025766333841,[-0.11481481481481481],[0.18981481481481483],[1],[0],[0],[1.7008910002186894],740.1137119997293,740.1291383998469,740.4290159996599,741.6797901000828,,,,,,,,,,Bradley_Zn,001,2024-11-13_10h31.09.822,Foreperiod_task,2024.2.1post4,60.01579622195129,2024-11-13 10h31.20.448948 -0800,
28,0,28,[-0.11481481481481481],[0.18981481481481483],[1],[0],[0],[1.6019520005211234],,,,2,0,2,0,28,0,28,0,741.6961463000625,,,,,,,,,,,,741.679957699962,741.6961463000625,0.00017949938774108887,741.6961463000625,741.6961463000625,741.8967046001926,742.997485300526,742.997485300526,742.997485300526,743.014221499674,743.2826706003398,1.3051619233411138,surprise,0.2967900771800096,[-0.11481481481481481],[0.18981481481481483],[1],[0],[0],[1.6019520005211234],743.2830960005522,743.2979450998828,743.5983968004584,744.7498904000968,,,,,,,,,,Bradley_Zn,001,2024-11-13_10h31.09.822,Foreperiod_task,2024.2.1post4,60.01579622195129,2024-11-13 10h31.20.448948 -0800,
29,0,29,[-0.11481481481481481],[0.18981481481481483],[1],[0],[0],[2.285134100355208],,,,2,0,2,0,29,0,29,0,744.7656848002225,,,,,,,,,,,,744.7501787999645,744.7656848002225,0.0003070998936891556,744.7656848002225,744.7656848002225,744.9658677997068,746.7510512005538,746.7510512005538,746.7510512005538,746.7675202004611,747.0360936997458,2,normal,0.2851341003552079,[-0.11481481481481481],[0.18981481481481483],[1],[0],[0],[2.285134100355208],747.0365471001714,747.0512415999547,747.351315700449,748.5208221999928,,,,,,,,,,Bradley_Zn,001,2024-11-13_10h31.09.822,Foreperiod_task,2024.2.1post4,60.01579622195129,2024-11-13 10h31.20.448948 -0800,
