thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,AVG.started,PLUS_FP.stopped,polygon.started,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Period.stopped,Photodiode_2.stopped,BREAK.started,Instructions.started,key_resp_5.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
32,0,32,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.3019570000469685],,,,0,0,0,0,32,0,32,0,110.39459320064634,,,,,,,,,,,,110.3788377000019,110.39459320064634,0.00028089992702007294,110.39459320064634,112.37970430031419,112.37970430031419,112.68168960046023,2,normal,0.30195700004696846,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.3019570000469685],112.68225240055472,112.6964378003031,114.19839960057288,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
33,0,33,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.284963699989021],,,,0,0,0,0,33,0,33,0,114.21446770057082,,,,,,,,,,,,114.19866740051657,114.21446770057082,0.0002749999985098839,114.21446770057082,116.19951670058072,116.19951670058072,116.4844765001908,2,normal,0.2849636999890208,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.284963699989021],116.4848651997745,116.49964450020343,117.85158720053732,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
34,0,34,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.8337137000635266],,,,0,0,0,0,34,0,34,0,117.86752420011908,,,,,,,,,,,,117.85182960052043,117.86752420011908,0.00023909937590360641,117.86752420011908,118.35118759982288,118.35118759982288,118.68634069990367,0.5,normal,0.33371370006352663,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.8337137000635266],118.68677680008113,118.70145160052925,120.33692390006036,119.201878500171,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
35,0,35,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.2682773005217314],,,,0,0,0,0,35,0,35,0,120.35309080034494,,,,,,,,,,,,120.33721520006657,120.35309080034494,0.0002959994599223137,120.35309080034494,122.33796560019255,122.33796560019255,122.60619609989226,2,normal,0.2682773005217314,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.2682773005217314],122.6066880999133,122.62148070055991,124.10656220000237,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
36,0,36,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.8165100002661347],,,,0,0,0,0,36,0,36,0,124.12271760031581,,,,,,,,,,,,124.1068075997755,124.12271760031581,0.0002966001629829407,124.12271760031581,124.60638319980353,124.60638319980353,124.92383760027587,0.5,normal,0.31651000026613474,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.8165100002661347],124.92405179981142,124.94030509982258,126.3752712002024,125.44096180051565,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
37,0,37,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.401737299747765],,,,0,0,0,0,37,0,37,0,126.39094839990139,,,,,,,,,,,,126.37557619996369,126.39094839990139,0.0003095995634794235,126.39094839990139,128.3763851998374,128.3763851998374,128.77850889973342,2,normal,0.40173729974776506,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.401737299747765],128.7790031004697,128.79338639974594,130.14512739982456,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
38,0,38,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.883644999936223],,,,0,0,0,0,38,0,38,0,130.16124740056694,,,,,,,,,,,,130.14542779978365,130.16124740056694,0.00030739977955818176,130.16124740056694,130.6448860997334,130.6448860997334,131.02971650008112,0.5,normal,0.38364499993622303,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.883644999936223],131.03005560021847,131.04495090059936,132.31359679996967,131.545458400622,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
39,0,39,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.2845946000888944],,,,0,0,0,0,39,0,39,0,132.32953540049493,,,,,,,,,,,,132.31386870052665,132.32953540049493,0.0002768002450466156,132.32953540049493,134.31460889987648,134.31460889987648,134.59896160010248,2,normal,0.28459460008889437,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.2845946000888944],134.5992483003065,134.61455690022558,136.16689429990947,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
40,0,40,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[1.7179803000763059],,,,0,0,0,0,40,0,40,0,136.18237090017647,,,,,,,,,,,,136.16716280020773,136.18237090017647,0.00026640016585588455,136.18237090017647,137.60076270066202,137.60076270066202,137.88612300064415,1.4322529933235053,surprise,0.28572730675280056,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[1.7179803000763059],137.88676770031452,137.90091850049794,139.26957949995995,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
41,0,41,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.9504854008555412],,,,0,0,0,0,41,0,41,0,139.28512889984995,,,,,,,,,,,,139.26973799988627,139.28512889984995,0.0001618005335330963,139.28512889984995,139.76921529974788,139.76921529974788,140.2208890002221,0.5,normal,0.45048540085554123,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.9504854008555412],140.22131890058517,140.23616020008922,141.6716213999316,140.73687820043415,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
42,0,42,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.3012795001268387],,,,0,0,0,0,42,0,42,0,141.68710490036756,,,,,,,,,,,,141.67195670027286,141.68710490036756,0.00033850036561489105,141.68710490036756,143.67229710053653,143.67229710053653,143.97407520003617,2,normal,0.3012795001268387,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.3012795001268387],143.9744798997417,143.98932410031557,145.45802049990743,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
